,annual_return,annual_volatility,annual_return_pct,annual_volatility_pct
Axis Bluechip,0.07241223783546229,0.005963599386050576,7.2412237835462285,0.5963599386050576
HDFC Top 100 Direct,0.2414760576967126,0.1548123027251793,24.14760576967126,15.481230272517928
ICICI Bluechip,0.1699372755736479,0.15666853451724003,16.993727557364792,15.666853451724002
Kotak Bluechip,0.1813972233583725,0.16138726194825073,18.13972233583725,16.13872619482507
SBI Bluechip,0.007074875243027998,0.08928063795642951,0.7074875243027998,8.928063795642952
