,Axis Bluechip,HDFC Top 100 Direct,ICICI Bluechip,Kotak Bluechip,SBI Bluechip
Axis Bluechip,3.5564517637302814e-05,0.00012661972108875366,0.00010942594007147054,8.76623279692555e-05,7.148181578510256e-05
HDFC Top 100 Direct,0.00012661972108875366,0.023966849075072544,0.018548177867928617,0.018488596565608115,0.0003356869699841274
ICICI Bluechip,0.00010942594007147054,0.018548177867928617,0.02454502970777962,0.019181381860786217,0.0005387177602288932
Kotak Bluechip,8.76623279692555e-05,0.018488596565608115,0.019181381860786217,0.026045848319153287,0.0003115950664563278
SBI Bluechip,7.148181578510256e-05,0.0003356869699841274,0.0005387177602288932,0.0003115950664563278,0.00797103231390704
